# Exported mask 'geometry' on 23-Jun-2016 08:38:35.000038
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13781.5	13470.5	28.37245249826972	-25.62351152784235	1584	1224	970	664	671	652	643	545	558	185	10	165	94	54.940094	30.727627	5.8897047	84.55706	1.0
13782.5	13470.5	28.372552076607302	-25.62351059244804	1585	1218	976	672	669	650	637	528	560	182	12	172	100	54.94005	30.727531	5.8889813	84.5514	1.0
13783.5	13470.5	28.372651654939954	-25.623509656985913	1585	1228	978	675	669	650	637	526	560	182	12	172	100	54.940002	30.727434	5.8882585	84.54573	1.0
13784.5	13470.5	28.372751233267657	-25.623508721455966	1585	1218	969	681	676	651	622	540	553	182	12	181	94	54.939957	30.727339	5.887535	84.54006	1.0
13785.5	13470.5	28.372850811590425	-25.623507785858198	1585	1237	960	684	676	651	622	544	553	182	12	181	94	54.93991	30.727243	5.886812	84.5344	1.0
13786.5	13470.5	28.372950389908247	-25.62350685019261	1585	1246	956	679	663	661	628	534	555	182	12	177	92	54.939865	30.727148	5.886089	84.52873	1.0
13787.5	13470.5	28.373049968221128	-25.6235059144592	1585	1237	968	686	663	661	628	535	555	182	12	177	92	54.93982	30.727053	5.885366	84.52307	1.0
13788.5	13470.5	28.373149546529064	-25.623504978657973	1587	1239	965	672	658	654	632	543	546	191	9	180	94	54.93977	30.726955	5.8846426	84.5174	1.0
13789.5	13470.5	28.373249124832064	-25.623504042788923	1587	1235	943	676	658	654	632	552	546	191	9	180	94	54.939724	30.72686	5.8839197	84.51174	1.0
13790.5	13470.5	28.373348703130116	-25.623503106852052	1587	1225	945	680	664	637	613	544	532	191	9	186	92	54.93968	30.726765	5.8831964	84.50607	1.0
13791.5	13470.5	28.373448281423222	-25.62350217084736	1587	1236	951	662	664	637	613	533	532	191	9	186	92	54.939632	30.72667	5.8824735	84.500404	1.0
13792.5	13470.5	28.373547859711387	-25.62350123477485	1587	1226	952	664	650	627	611	533	536	191	9	183	80	54.939587	30.726572	5.88175	84.49474	1.0
