# Exported mask 'geometry' on 23-Jun-2016 09:31:47.000031
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13778.5	13404.5	28.372085694706758	-25.617556030921318	1604	1263	1051	851	1000	1528	1709	1595	1835	586	15	1393	781	54.935337	30.730509	5.8947897	86.50716	0.0
13779.5	13404.5	28.372185268123157	-25.617555095978858	1604	1266	1032	812	1000	1528	1709	1696	1835	586	15	1393	781	54.93529	30.730413	5.8941073	86.49303	0.0
13780.5	13404.5	28.372284841534615	-25.617554160968595	1604	1270	1033	798	1019	1722	1844	1850	2024	586	15	1365	755	54.935246	30.730316	5.8934255	86.47889	0.0
13781.5	13404.5	28.372384414941134	-25.617553225890525	1604	1288	1063	835	1019	1722	1844	1943	2024	586	15	1365	755	54.935196	30.73022	5.892743	86.46475	0.0
13782.5	13404.5	28.37248398834271	-25.61755229074466	1620	1264	1048	830	1030	1610	1869	1754	1943	602	17	1423	796	54.93515	30.730125	5.8920608	86.45062	0.0
13783.5	13404.5	28.37258356173935	-25.617551355530985	1620	1265	1020	837	1030	1610	1869	1689	1943	602	17	1423	796	54.935104	30.73003	5.891379	86.436485	0.0
13753.5	13405.5	28.369597387004216	-25.617669659892037	1638	1338	1114	992	1169	1789	2033	1947	2231	744	15	1810	1076	54.936565	30.732862	5.911816	86.828026	0.0
13754.5	13405.5	28.369696960618732	-25.61766872664089	1638	1319	1124	988	1224	1896	2112	2046	2333	744	15	1871	1134	54.93652	30.732767	5.9111333	86.81402	0.0
13755.5	13405.5	28.36979653422832	-25.61766779332194	1638	1312	1126	971	1224	1896	2112	2070	2333	744	15	1871	1134	54.936474	30.732672	5.9104505	86.80001	0.0
13756.5	13405.5	28.36989610783298	-25.617666859935184	1638	1296	1093	900	1199	1907	2188	2080	2396	744	15	1968	1134	54.936428	30.732576	5.9097676	86.786	0.0
13757.5	13405.5	28.36999568143271	-25.61766592648063	1638	1312	1136	1009	1199	1907	2188	2082	2396	744	15	1968	1134	54.936382	30.732481	5.909085	86.772	0.0
13758.5	13405.5	28.370095255027508	-25.617664992958268	1666	1324	1147	1032	1313	1941	2216	2120	2429	801	13	2257	1392	54.936333	30.732384	5.908402	86.757996	0.0
13759.5	13405.5	28.37019482861737	-25.617664059368103	1666	1356	1186	1133	1313	1941	2216	2246	2429	801	13	2257	1392	54.936287	30.732288	5.907719	86.74399	0.0
13760.5	13405.5	28.37029440220231	-25.617663125710138	1666	1372	1231	1262	1391	1986	2242	2192	2398	801	13	2369	1524	54.93624	30.732193	5.9070363	86.72998	0.0
13761.5	13405.5	28.37039397578231	-25.61766219198437	1666	1353	1167	1063	1391	1986	2242	2087	2398	801	13	2369	1524	54.936195	30.732098	5.9063535	86.71597	0.0
13762.5	13405.5	28.370493549357384	-25.617661258190793	1666	1338	1164	1078	1420	1998	2273	2252	2468	801	13	2270	1415	54.93615	30.732002	5.9056706	86.701965	0.0
13763.5	13405.5	28.370593122927524	-25.617660324329417	1666	1357	1207	1137	1420	1998	2273	2219	2468	801	13	2270	1415	54.936104	30.731905	5.904988	86.687965	0.0
13764.5	13405.5	28.37069269649273	-25.617659390400238	1631	1332	1166	1084	1259	2099	2457	2056	2684	820	16	1956	1044	54.936058	30.73181	5.904305	86.67396	0.0
13765.5	13405.5	28.370792270053002	-25.61765845640325	1631	1308	1132	932	1259	2099	2457	2231	2684	820	16	1956	1044	54.936012	30.731714	5.903622	86.65995	0.0
13766.5	13405.5	28.370891843608344	-25.61765752233847	1631	1285	1087	818	1158	2165	2498	2541	2683	820	16	1585	792	54.935966	30.731619	5.9029393	86.64594	0.0
13767.5	13405.5	28.370991417158752	-25.61765658820588	1631	1283	1058	817	1158	2165	2498	2574	2683	820	16	1585	792	54.935917	30.731524	5.9022565	86.631935	0.0
13768.5	13405.5	28.37109099070422	-25.617655654005492	1631	1262	1044	773	1002	1882	2098	2043	2343	820	16	1329	603	54.93587	30.731426	5.9015737	86.61793	0.0
13769.5	13405.5	28.37119056424476	-25.617654719737292	1631	1272	1046	791	1002	1882	2098	1925	2343	820	16	1329	603	54.935825	30.73133	5.900891	86.60393	0.0
13770.5	13405.5	28.37129013778036	-25.6176537854013	1621	1287	1085	836	1060	2022	2367	2359	2599	774	12	1400	647	54.93578	30.731236	5.900208	86.58992	0.0
13771.5	13405.5	28.371389711311025	-25.617652850997494	1621	1289	1052	814	1060	2022	2367	2396	2599	774	12	1400	647	54.935734	30.73114	5.899525	86.57591	0.0
13772.5	13405.5	28.371489284836763	-25.617651916525894	1621	1280	1054	809	1061	1914	2306	2314	2349	774	12	1378	691	54.935688	30.731043	5.8988423	86.561905	0.0
