# Exported mask 'geometry' on 28-Jun-2016 21:30:08.000030
# Product name: S3A_OL_1_EFR____20160605T074147_20160605T074447_20160606T174711_0180_005_049_3419_LN1_O_NT_001
# Product file location: D:\Projects\GitHub\RoodBuoy16\Data\Sentinel3\S3A_OL_1_EFR____20160605T074147_20160605T074447_20160606T174711_0180_005_049_3419_LN1_O_NT_001.SEN3\xfdumanifest.xml

# Wavelength:				400.0	412.5	442.5	490.0	510.0	560.0	620.0	665.0	673.75	681.25	708.75	753.75	761.25	764.375	767.5	778.75	865.0	885.0	900.0	940.0	1020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	Oa01_radiance	Oa02_radiance	Oa03_radiance	Oa04_radiance	Oa05_radiance	Oa06_radiance	Oa07_radiance	Oa08_radiance	Oa09_radiance	Oa10_radiance	Oa11_radiance	Oa12_radiance	Oa13_radiance	Oa14_radiance	Oa15_radiance	Oa16_radiance	Oa17_radiance	Oa18_radiance	Oa19_radiance	Oa20_radiance	Oa21_radiance	altitude	latitude	longitude	detector_index	FWHM_band_1	FWHM_band_2	FWHM_band_3	FWHM_band_4	FWHM_band_5	FWHM_band_6	FWHM_band_7	FWHM_band_8	FWHM_band_9	FWHM_band_10	FWHM_band_11	FWHM_band_12	FWHM_band_13	FWHM_band_14	FWHM_band_15	FWHM_band_16	FWHM_band_17	FWHM_band_18	FWHM_band_19	FWHM_band_20	FWHM_band_21	frame_offset	lambda0_band_1	lambda0_band_2	lambda0_band_3	lambda0_band_4	lambda0_band_5	lambda0_band_6	lambda0_band_7	lambda0_band_8	lambda0_band_9	lambda0_band_10	lambda0_band_11	lambda0_band_12	lambda0_band_13	lambda0_band_14	lambda0_band_15	lambda0_band_16	lambda0_band_17	lambda0_band_18	lambda0_band_19	lambda0_band_20	lambda0_band_21	solar_flux_band_1	solar_flux_band_2	solar_flux_band_3	solar_flux_band_4	solar_flux_band_5	solar_flux_band_6	solar_flux_band_7	solar_flux_band_8	solar_flux_band_9	solar_flux_band_10	solar_flux_band_11	solar_flux_band_12	solar_flux_band_13	solar_flux_band_14	solar_flux_band_15	solar_flux_band_16	solar_flux_band_17	solar_flux_band_18	solar_flux_band_19	solar_flux_band_20	solar_flux_band_21	quality_flags
2939.5	1016.5	28.360536792067997	-25.583117056137127	54.27962	56.976177	53.998394	45.134655	41.3199	34.97361	29.258476	27.242832	26.733454	26.31032	30.83087	40.85773	11.515146	20.382227	36.010612	39.101887	34.71241	33.965652	23.246616	7.904875	27.66023	1207	-25.581024	28.363192	1847	13.840995	9.822768	9.884712	9.982456	9.947642	10.005255	9.95569	9.957564	7.5238514	7.5353274	10.006242	7.5233207	2.8044567	3.7383142	2.747144	15.042794	19.936749	9.970425	9.95983	19.86338	28.366632	-1	400.6623	412.07358	443.18115	490.7107	510.6366	560.5776	620.63055	665.3692	674.1032	681.6577	709.1768	754.22064	761.81396	764.905	767.97076	779.2665	865.4597	884.32263	899.3138	939.0176	1015.96246	1486.7041	1660.235	1841.9772	1884.3619	1860.7085	1744.1587	1601.6892	1485.6272	1451.3373	1426.2452	1362.1617	1229.7727	1212.1532	1202.7018	1193.8976	1139.6627	931.8285	904.12134	870.0081	802.5023	679.29425	-2147483648
2940.5	1016.5	28.363144602769953	-25.583704597794657	54.460926	56.936016	54.2778	45.51481	42.077045	35.850727	30.550844	28.548876	27.969793	27.60186	32.10761	41.88727	11.747548	20.858042	36.83239	40.093487	35.195553	34.493618	23.608667	8.015843	28.075102	1210	-25.581656	28.365992	1848	13.840117	9.822751	9.88467	9.982521	9.94771	10.0053215	9.955705	9.957551	7.5238533	7.53538	10.00621	7.5233274	2.804803	3.738379	2.7475033	15.0428	19.936663	9.9703865	9.959796	19.863262	28.357553	-1	400.66156	412.0725	443.18005	490.70938	510.63553	560.5767	620.62964	665.36816	674.1022	681.6567	709.1757	754.2197	761.813	764.904	767.96967	779.2655	865.45886	884.32166	899.31274	939.0162	1015.9607	1486.6866	1660.2268	1841.9489	1884.3441	1860.725	1744.1659	1601.6904	1485.6295	1451.342	1426.2495	1362.1682	1229.7726	1212.1556	1202.71	1193.8933	1139.667	931.8273	904.1235	870.0088	802.5048	679.29675	-2147483648
2941.5	1016.5	28.36575241316457	-25.58429213944884	54.377247	56.855694	53.804024	44.719944	40.895897	34.10884	28.045235	25.700125	24.983559	24.585686	29.2569	39.165825	10.975373	19.387339	34.309116	37.29898	32.883366	32.02429	21.969385	7.418572	26.065569	1213	-25.582289	28.368788	1849	13.839241	9.822733	9.884628	9.982587	9.947777	10.005388	9.955719	9.957537	7.5238557	7.535433	10.006179	7.523334	2.805149	3.7384443	2.7478628	15.042805	19.936577	9.970347	9.959762	19.863144	28.348501	-1	400.6608	412.07144	443.17896	490.70807	510.63443	560.57587	620.6287	665.36707	674.1011	681.65564	709.1746	754.2188	761.812	764.90295	767.96857	779.2645	865.45795	884.3207	899.3117	939.0148	1015.959	1486.6691	1660.2185	1841.9208	1884.3264	1860.7415	1744.1731	1601.6915	1485.6317	1451.3467	1426.2537	1362.1747	1229.7723	1212.1583	1202.7181	1193.8889	1139.6711	931.826	904.12555	870.0094	802.5073	679.29926	-2147483648
2942.5	1016.5	28.36836022324103	-25.584879681099565	54.516712	56.82892	53.85262	44.812103	41.178566	33.997658	28.106775	26.208517	25.478094	25.10385	29.635195	37.38032	10.585538	18.591429	33.007973	35.50668	31.537464	30.82537	21.139688	7.2162175	25.57615	1213	-25.58292	28.371595	1850	13.838486	9.822756	9.884538	9.982674	9.947769	10.005428	9.955701	9.957512	7.523776	7.5354786	10.006154	7.523242	2.8054214	3.7386544	2.7482529	15.042829	19.936684	9.970403	9.959798	19.86275	28.33937	-1	400.66006	412.07047	443.17795	490.70697	510.6334	560.5749	620.6277	665.36615	674.10004	681.6546	709.17377	754.2177	761.8107	764.9017	767.9674	779.26355	865.457	884.3198	899.311	939.01337	1015.957	1486.651	1660.211	1841.8951	1884.3112	1860.7576	1744.181	1601.6927	1485.6337	1451.3511	1426.2579	1362.1799	1229.7721	1212.161	1202.7277	1193.8844	1139.6754	931.82446	904.1275	870.0099	802.50977	679.3022	-2147483648
2943.5	1016.5	28.370968032988547	-25.5854672227467	54.44698	56.842304	54.010544	45.215294	41.34009	34.33121	28.774939	26.865921	26.191366	25.730286	29.804075	36.588367	10.338142	18.279985	32.028164	34.732487	30.89163	30.121418	20.73741	7.082402	24.88902	1211	-25.58355	28.374382	1851	13.83773	9.822779	9.884447	9.98276	9.9477625	10.005468	9.955683	9.957487	7.523696	7.5355244	10.006129	7.5231495	2.8056939	3.7388647	2.7486432	15.042853	19.936789	9.970458	9.959835	19.862354	28.330246	-1	400.65933	412.0695	443.17694	490.70584	510.63235	560.57385	620.62665	665.3652	674.09906	681.65356	709.17285	754.2167	761.80945	764.90045	767.96625	779.2626	865.456	884.319	899.3102	939.0119	1015.95496	1486.6329	1660.2037	1841.8693	1884.2958	1860.7734	1744.189	1601.6941	1485.6356	1451.3555	1426.2621	1362.1853	1229.772	1212.1636	1202.7372	1193.88	1139.6797	931.823	904.12946	870.01044	802.51227	679.3051	-2147483648
2944.5	1016.5	28.373576660844353	-25.58605324574974	54.684067	57.35102	54.67869	45.676086	42.056854	35.40599	30.137638	28.31221	27.646442	27.439451	31.053793	37.178734	10.548054	18.712545	32.928955	35.665756	31.710016	31.149847	21.365969	7.271702	25.935923	1208	-25.584179	28.377167	1852	13.836975	9.822802	9.8843565	9.982847	9.947755	10.005509	9.955664	9.957462	7.5236163	7.5355706	10.006104	7.5230575	2.8059666	3.739075	2.7490335	15.042877	19.936893	9.970514	9.959872	19.86196	28.321129	-1	400.6586	412.06848	443.17593	490.70474	510.63132	560.5729	620.6257	665.36426	674.098	681.6525	709.172	754.2156	761.80817	764.89923	767.96515	779.2616	865.455	884.3181	899.3094	939.0105	1015.95294	1486.6149	1660.1965	1841.8434	1884.2805	1860.7894	1744.197	1601.6953	1485.6376	1451.3599	1426.2664	1362.1906	1229.7719	1212.1664	1202.7468	1193.8755	1139.6838	931.8215	904.1314	870.011	802.5147	679.30804	-2139095040
2945.5	1016.5	28.376186107317118	-25.586637750114072	54.684067	57.35102	54.67869	45.676086	42.056854	35.40599	30.137638	28.31221	27.646442	27.439451	31.053793	37.178734	10.548054	18.712545	32.928955	35.665756	31.710016	31.149847	21.365969	7.271702	25.935923	1208	-25.584179	28.377167	1852	13.836975	9.822802	9.8843565	9.982847	9.947755	10.005509	9.955664	9.957462	7.5236163	7.5355706	10.006104	7.5230575	2.8059666	3.739075	2.7490335	15.042877	19.936893	9.970514	9.959872	19.86196	28.321129	-1	400.6586	412.06848	443.17593	490.70474	510.63132	560.5729	620.6257	665.36426	674.098	681.6525	709.172	754.2156	761.80817	764.89923	767.96515	779.2616	865.455	884.3181	899.3094	939.0105	1015.95294	1486.6149	1660.1965	1841.8434	1884.2805	1860.7894	1744.197	1601.6953	1485.6376	1451.3599	1426.2664	1362.1906	1229.7719	1212.1664	1202.7468	1193.8755	1139.6838	931.8215	904.1314	870.011	802.5147	679.30804	-2147483648
2946.5	1016.5	28.378795554121115	-25.587222254481812	54.781693	57.59199	55.06743	46.540073	42.672665	35.974266	31.034382	29.3027	28.787678	28.537647	31.465862	36.818752	10.195703	18.548172	32.360035	34.91278	31.108551	30.231411	20.898321	7.0660834	25.498363	1206	-25.584805	28.379938	1853	13.836221	9.822824	9.884266	9.982935	9.947747	10.005549	9.955646	9.9574375	7.5235367	7.5356164	10.006079	7.522965	2.8062394	3.7392852	2.7494237	15.042901	19.937	9.97057	9.9599085	19.861565	28.31202	-1	400.65787	412.0675	443.17493	490.7036	510.63028	560.57184	620.62463	665.36334	674.09705	681.6515	709.17114	754.21454	761.8069	764.898	767.964	779.2606	865.45404	884.3172	899.3086	939.0091	1015.9509	1486.5969	1660.1892	1841.8176	1884.2653	1860.8053	1744.205	1601.6965	1485.6395	1451.3643	1426.2706	1362.1958	1229.7716	1212.1691	1202.7563	1193.871	1139.6881	931.81995	904.13336	870.0114	802.5171	679.31104	-2147483648
2947.5	1016.5	28.38140500124552	-25.58780675885284	55.11641	57.75264	55.33469	46.96631	43.460094	36.653725	31.799252	30.258127	29.681646	29.25689	32.073833	37.66831	10.465589	18.67794	32.99217	35.57031	31.271242	30.418398	20.827923	7.105249	25.342787	1209	-25.585434	28.382736	1854	13.835466	9.822846	9.884175	9.983022	9.94774	10.0055895	9.955627	9.957413	7.5234566	7.5356627	10.006054	7.522873	2.8065126	3.739496	2.7498143	15.042925	19.937105	9.970625	9.959946	19.86117	28.302917	-1	400.65714	412.06653	443.17392	490.7025	510.62924	560.57086	620.6236	665.36237	674.096	681.65045	709.1702	754.21344	761.8056	764.8968	767.9628	779.25964	865.45306	884.31635	899.3078	939.0077	1015.9489	1486.579	1660.1819	1841.7919	1884.2499	1860.8212	1744.2129	1601.6978	1485.6415	1451.3687	1426.2748	1362.201	1229.7715	1212.1718	1202.7659	1193.8665	1139.6923	931.8184	904.1353	870.01196	802.51953	679.3139	-2147483648
2948.5	1016.5	28.384014448679505	-25.588391263227024	54.90721	57.80619	55.626244	47.196705	43.53076	36.937862	32.291584	30.713926	30.09059	29.798254	32.41835	38.453064	10.922895	19.25757	33.792873	36.455856	31.754387	30.935362	21.23523	7.1411505	25.235826	1212	-25.586063	28.385532	1855	13.834712	9.822869	9.884085	9.983109	9.947732	10.0056305	9.955609	9.957388	7.523377	7.535709	10.006029	7.522781	2.8067858	3.7397065	2.750205	15.042949	19.937212	9.97068	9.959983	19.860773	28.293821	-1	400.6564	412.06555	443.1729	490.7014	510.6282	560.5699	620.62256	665.36145	674.09503	681.6494	709.1694	754.2124	761.8043	764.8955	767.96173	779.25867	865.4521	884.3155	899.307	939.0063	1015.9469	1486.5609	1660.1744	1841.7661	1884.2347	1860.837	1744.2208	1601.6991	1485.6434	1451.373	1426.279	1362.2064	1229.7714	1212.1746	1202.7754	1193.8618	1139.6965	931.81696	904.13727	870.0125	802.522	679.3169	-2147483648
